"Date","Price","Open","High","Low","Vol.","Change %"
"01/17/2017","53.69","53.69","53.69","53.69","","-0.06%"
"01/13/2017","53.72","53.72","53.72","53.72","","-0.33%"
"01/12/2017","53.90","53.90","53.90","53.90","","0.97%"
"01/11/2017","53.38","53.38","53.38","53.38","","2.03%"
"01/10/2017","52.32","52.32","52.32","52.32","","-1.64%"
"01/09/2017","53.19","53.19","53.19","53.19","","-2.97%"
"01/06/2017","54.82","54.82","54.82","54.82","","0.11%"
"01/05/2017","54.76","54.76","54.76","54.76","","0.79%"
"01/04/2017","54.33","54.33","54.33","54.33","","2.20%"
"01/03/2017","53.16","53.16","53.16","53.16","","2.03%"
"12/30/2016","52.10","52.10","52.10","52.10","","-0.04%"
"12/29/2016","52.12","52.12","52.12","52.12","","-0.04%"
"12/28/2016","52.14","52.14","52.14","52.14","","0.10%"
"12/27/2016","52.09","52.09","52.09","52.09","","0.25%"
"12/23/2016","51.96","51.96","51.96","51.96","","0.04%"
"12/22/2016","51.94","51.94","51.94","51.94","","0.46%"
"12/21/2016","51.70","51.70","51.70","51.70","","-0.48%"
"12/20/2016","51.95","51.95","51.95","51.95","","0.27%"
"12/19/2016","51.81","51.81","51.81","51.81","","-0.38%"
"12/16/2016","52.01","52.01","52.01","52.01","","0.95%"
"12/15/2016","51.52","51.52","51.52","51.52","","0.21%"
"12/14/2016","51.41","51.41","51.41","51.41","","-1.83%"
"12/13/2016","52.37","52.37","52.37","52.37","","0.21%"
"12/12/2016","52.26","52.26","52.26","52.26","","1.85%"
"12/09/2016","51.31","51.31","51.31","51.31","","0.63%"
"12/08/2016","50.99","50.99","50.99","50.99","","1.27%"
"12/07/2016","50.35","50.35","50.35","50.35","","-1.33%"
"12/06/2016","51.03","51.03","51.03","51.03","","-0.93%"
"12/05/2016","51.51","51.51","51.51","51.51","","0.94%"
"12/02/2016","51.03","51.03","51.03","51.03","","0.33%"
"12/01/2016","50.86","50.86","50.86","50.86","","15.93%"
"11/30/2016","43.87","43.87","43.87","43.87","","-0.02%"
"11/29/2016","43.88","43.88","43.88","43.88","","-0.32%"
"11/28/2016","44.02","44.02","44.02","44.02","","0.16%"
"11/25/2016","43.95","43.95","43.95","43.95","","-0.45%"
"11/23/2016","44.15","44.15","44.15","44.15","","-0.09%"
"11/22/2016","44.19","44.19","44.19","44.19","","0.09%"
"11/21/2016","44.15","44.15","44.15","44.15","","1.54%"
"11/18/2016","43.48","43.48","43.48","43.48","","0.42%"
"11/17/2016","43.30","43.30","43.30","43.30","","-0.16%"
"11/16/2016","43.37","43.37","43.37","43.37","","-0.41%"
"11/15/2016","43.55","43.55","43.55","43.55","","2.88%"
"11/14/2016","42.33","42.33","42.33","42.33","","-0.28%"
"11/11/2016","42.45","42.45","42.45","42.45","","-1.37%"
"11/10/2016","43.04","43.04","43.04","43.04","","-0.78%"
"11/09/2016","43.38","43.38","43.38","43.38","","0.95%"
